RA,DEC,kic_kepler_id,Tef,logg,[Fe/H],m_g,dist(pc),M_g,BC,M_bol,L,e_L,R,e_R,M,e_M
284.972080512,42.0956029424,6587011,5627.0,3.99,-0.0,14.7092953,1455.68066,3.89,0.075,3.97,2.03,0.04,1.5,0.01,1.18,0.08
284.97991705,42.053543894200004,6587022,5944.0,4.16,-0.98,16.7617321,3417.7639200000012,4.09,0.028,4.12,1.77,0.04,1.26,0.01,0.95,0.06
284.98116491,42.0058631325,6587025,5888.0,4.2,-0.61,17.3185368,3386.7053200000005,4.67,0.054,4.72,1.02,0.02,0.97,0.01,1.01,0.06
284.986521051,42.0025692329,6587047,5815.0,4.22,-0.47,16.6284447,2635.49927,4.52,0.051,4.58,1.16,0.02,1.07,0.01,1.02,0.07
285.018487678,42.0469206195,6587107,5995.0,4.18,-1.32,17.323337600000002,3908.11499,4.36,0.003,4.37,1.41,0.03,1.1,0.01,0.88,0.06
285.023219983,42.0589566382,6587113,6350.0,4.12,-0.56,14.1205702,1323.48438,3.51,0.069,3.58,2.91,0.06,1.41,0.02,1.17,0.07
285.032593155,42.0319554544,6587130,5704.0,4.13,0.03,13.7128277,829.338196,4.12,0.075,4.19,1.65,0.03,1.32,0.01,1.15,0.07
285.034448828,42.049504655599996,6587133,5759.0,4.28,-0.26,14.7846079,1018.8027300000001,4.74,0.048,4.79,0.95,0.02,0.98,0.01,1.03,0.07
285.035438769,42.070004106300004,6587136,5207.0,4.39,0.22,14.800924300000002,974.186157,4.86,0.025,4.88,0.88,0.02,1.15,0.01,0.96,0.06
285.133064207,42.0788182083,6587330,5315.0,3.97,-0.07,16.196373,2753.91577,4.0,0.025,4.02,1.94,0.04,1.65,0.01,1.07,0.07
285.146416359,42.0325999194,6587375,5876.0,4.07,-0.48,16.2599983,3814.6499,3.35,0.054,3.41,3.41,0.07,1.79,0.02,1.09,0.07
285.148708937,42.0911803944,6587380,5710.0,4.2,-0.82,16.917879100000004,3007.8999,4.53,0.023,4.55,1.19,0.02,1.12,0.01,0.92,0.06
285.151984123,42.064548193,6587387,5661.0,4.35,-0.29,13.861557999999999,594.139771,4.99,0.046,5.04,0.76,0.02,0.91,0.01,0.97,0.06
285.15286924599997,42.0049598654,6587389,5385.0,4.32,-0.55,16.3973103,2000.69482,4.89,0.034,4.93,0.84,0.02,1.06,0.01,0.86,0.06
285.155778972,42.0766138007,6587398,5729.0,4.27,-0.31,15.091211300000001,1202.00281,4.69,0.046,4.74,1.0,0.02,1.02,0.01,1.01,0.06
285.16640512,42.062401303499996,6587420,5809.0,4.15,-0.63,15.921238899999999,2014.6066899999998,4.4,0.051,4.45,1.3,0.03,1.13,0.01,1.0,0.06
285.167098337,42.0468017642,6587424,5334.0,3.91,-0.5,16.0777359,2512.55322,4.08,0.017,4.09,1.81,0.04,1.58,0.01,1.0,0.06
285.180686585,42.022062975,6587445,5686.0,4.28,-0.21,15.5170755,1295.1663800000001,4.96,0.073,5.03,0.77,0.02,0.9,0.01,1.02,0.07
285.181075484,42.0269656092,6587448,5692.0,4.19,-0.41,16.7236462,2759.36523,4.52,0.049,4.57,1.17,0.02,1.12,0.01,1.01,0.06
285.232206633,42.0891904029,6587563,6032.0,4.19,-0.43,14.644255599999996,1217.23889,4.22,0.054,4.27,1.54,0.03,1.14,0.01,1.09,0.07
285.232833387,42.080762437,6587565,5473.0,4.37,0.13,15.466860800000001,1128.5997300000001,5.2,0.054,5.26,0.62,0.01,0.88,0.01,1.02,0.07
281.267230181,42.1991831033,6664370,5597.0,4.3,-0.23,16.388986600000006,2369.13379,4.52,0.054,4.57,1.17,0.02,1.15,0.01,0.99,0.06
281.36990781099996,42.1118428683,6664567,5598.0,4.34,-0.52,16.3670845,1693.8020000000001,5.22,0.034,5.26,0.62,0.01,0.84,0.01,0.91,0.06
281.37378431900004,42.1332419082,6664578,5566.0,4.12,-0.46,16.1390247,2593.1721199999997,4.07,0.036,4.11,1.79,0.04,1.44,0.01,0.99,0.06
281.39251202400004,42.1684278467,6664614,5507.0,4.27,-0.32,15.6659136,1555.47461,4.71,0.034,4.74,1.0,0.02,1.1,0.01,0.95,0.06
281.40909567299997,42.1072968598,6664646,5517.0,4.44,-0.25,15.598985699999998,1316.2981,5.0,0.054,5.06,0.75,0.02,0.95,0.01,0.92,0.06
281.41032541,42.1567674505,6664647,5799.0,4.03,-0.23,14.386428800000001,1432.7360800000001,3.61,0.075,3.68,2.65,0.05,1.62,0.02,1.15,0.07
281.41157089999996,42.1986642054,6664650,5393.0,,-0.61,,,,,,,,,,,
281.447713373,42.187223180100005,6664711,4965.0,4.1,-0.29,15.559775400000001,1678.47546,4.44,-0.004,4.43,1.33,0.03,1.56,0.01,0.87,0.06
281.456625596,42.1204134081,6664726,5540.0,4.23,-1.47,16.724864999999998,2162.65283,5.05,-0.009,5.04,0.76,0.02,0.95,0.01,0.74,0.05
281.471572659,42.1715962619,6664749,5698.0,,-0.27,,,,,,,,,,,
281.476673452,42.1273871302,6664754,5961.0,4.09,-0.5,15.651444400000004,2377.71387,3.77,0.054,3.82,2.32,0.05,1.43,0.02,1.09,0.07
281.494958687,42.1461154655,6664792,5563.0,4.23,-0.35,16.9089546,2678.44092,4.77,0.036,4.81,0.94,0.02,1.05,0.01,0.97,0.06
281.5025049,42.1845114689,6664802,6293.0,4.11,-0.68,16.280174300000002,3070.37988,3.84,0.069,3.91,2.14,0.04,1.23,0.02,1.13,0.07
281.510336737,42.1651143737,6664818,5417.0,4.44,0.13,16.2163734,1427.12756,5.44,0.054,5.5,0.5,0.01,0.8,0.01,0.98,0.06
281.519342048,42.101741869899996,6664839,5540.0,4.38,0.0,14.2339497,748.005493,4.86,0.054,4.92,0.85,0.02,1.0,0.01,1.0,0.06
281.520217405,42.1694231029,6664842,5665.0,4.29,-0.06,14.4154644,894.135193,4.66,0.073,4.73,1.01,0.02,1.05,0.01,1.05,0.07
281.52625748099996,42.1503763973,6664853,5474.0,4.48,-0.51,16.753908199999998,1653.99744,5.66,0.034,5.7,0.41,0.01,0.72,0.01,0.85,0.05
281.526983276,42.168747366999995,6664854,5323.0,4.54,-0.06,15.5566769,960.6277470000001,5.64,0.023,5.67,0.43,0.01,0.77,0.01,0.9,0.06
281.543661773,42.1746711943,6664877,5523.0,4.35,-0.23,15.2631283,1150.41614,4.96,0.054,5.01,0.78,0.02,0.97,0.01,0.95,0.06
281.569613754,42.1103738333,6664926,5407.0,4.08,0.28,16.239809,3068.69434,3.81,0.073,3.88,2.21,0.04,1.7,0.01,1.14,0.07
281.57500827900003,42.1725883935,6664936,5488.0,4.36,-0.46,16.3940926,2127.94067,4.75,0.034,4.79,0.96,0.02,1.08,0.01,0.89,0.06
281.58537151900003,42.1650972529,6664951,5814.0,4.14,-0.7,16.952446,3295.00806,4.36,0.051,4.41,1.35,0.03,1.15,0.01,0.99,0.06
