RA,DEC,kic_kepler_id,Tef,logg,[Fe/H],m_g,dist(pc),M_g,BC,M_bol,L,e_L,R,e_R,M,e_M
283.689053902,42.0407274672,6584092,5873.0,4.16,-0.58,17.0556107,3236.6084,4.51,0.051,4.56,1.18,0.02,1.05,0.01,1.02,0.07
283.69775256400004,42.0805668354,6584108,5821.0,4.11,-0.74,15.136446,1567.53223,4.16,0.051,4.21,1.63,0.03,1.26,0.01,0.99,0.06
283.708279653,42.0179127844,6584132,6142.0,4.32,-0.13,12.933208500000001,552.53363,4.22,0.093,4.31,1.48,0.03,1.08,0.01,1.15,0.07
283.714725982,42.0477635903,6584143,5747.0,4.16,-0.53,15.9958057,1923.9751,4.57,0.049,4.62,1.11,0.02,1.07,0.01,1.0,0.06
283.735702629,42.0766592519,6584187,5034.0,3.69,-0.48,16.338237799999998,3529.647220000001,3.6,0.003,3.6,2.85,0.06,2.23,0.01,1.04,0.07
283.736234109,42.052895997,6584191,5687.0,4.35,-0.44,16.7829323,2181.5502899999997,5.09,0.046,5.14,0.69,0.01,0.86,0.01,0.95,0.06
283.737642173,42.0319358293,6584195,6603.0,4.13,-0.73,16.8375206,7976.663090000001,2.33,0.079,2.41,8.57,0.17,2.24,0.04,1.18,0.08
283.741610245,42.0596804257,6584206,5054.0,3.61,-0.39,14.6010714,1798.93323,3.33,0.003,3.33,3.67,0.07,2.51,0.01,1.12,0.07
283.75026159,42.0060025645,6584227,4971.0,3.44,-0.14,14.7658501,2202.84204,3.05,0.005,3.06,4.71,0.1,2.94,0.02,1.28,0.08
283.75439673,42.0903761058,6584234,5510.0,3.62,-0.91,17.8455486,7856.08203,3.37,0.025,3.39,3.45,0.07,2.05,0.02,1.13,0.07
283.757729647,42.0559071712,6584242,5512.0,4.15,-0.56,17.1328983,3444.76685,4.45,0.036,4.48,1.27,0.03,1.24,0.01,0.94,0.06
283.759100166,42.0819842606,6584248,5604.0,4.25,-0.04,12.907925599999999,457.445099,4.61,0.054,4.66,1.08,0.02,1.1,0.01,1.05,0.07
283.772510044,42.0460413973,6584277,5720.0,4.29,-0.26,15.7953014,1550.11206,4.84,0.046,4.89,0.87,0.02,0.95,0.01,1.01,0.06
283.778035604,42.0165860288,6584281,5480.0,4.44,-0.03,16.4890499,1903.36682,5.09,0.054,5.15,0.69,0.01,0.92,0.01,0.96,0.06
284.010564577,42.0036680263,6584851,5712.0,4.15,-0.46,16.904035600000004,3876.14209,3.96,0.049,4.01,1.96,0.04,1.43,0.01,1.01,0.06
284.03349528,42.0325374798,6584908,5337.0,4.54,0.0,15.6454039,980.853455,5.69,0.024,5.71,0.41,0.01,0.75,0.01,0.91,0.06
284.034844124,42.0826398273,6584912,5648.0,4.27,-0.7,16.7758732,2369.49292,4.9,0.046,4.95,0.83,0.02,0.95,0.01,0.9,0.06
284.052175973,42.0968041017,6584956,5304.0,4.48,0.12,15.8482962,1249.79114,5.36,0.025,5.39,0.55,0.01,0.88,0.01,0.94,0.06
284.071736004,42.0298769622,6585003,5737.0,4.16,0.04,13.0585995,615.649658,4.11,0.075,4.19,1.66,0.03,1.31,0.01,1.14,0.07
284.074349653,42.066233995,6585017,5676.0,4.03,-0.32,15.360173199999998,1855.1523399999999,4.02,0.049,4.07,1.86,0.04,1.41,0.01,1.09,0.07
284.079894384,42.0318338431,6585029,5383.0,4.38,-0.21,14.6454182,814.76886,5.09,0.054,5.14,0.69,0.01,0.96,0.01,0.91,0.06
284.098938329,42.0518833446,6585059,5590.0,4.11,-0.11,16.131549800000002,3087.80981,3.68,0.056,3.74,2.51,0.05,1.7,0.02,1.08,0.07
284.108256069,42.0085669188,6585077,5676.0,4.04,-0.28,14.5747805,1376.45129,3.88,0.049,3.93,2.11,0.04,1.51,0.01,1.1,0.07
284.116322082,42.0685741991,6585091,5994.0,4.14,-0.57,16.4395657,2754.9677699999997,4.24,0.054,4.29,1.51,0.03,1.14,0.01,1.07,0.07
284.119551654,42.0491706343,6585106,5713.0,4.25,-0.32,15.3955154,1409.8088400000001,4.65,0.049,4.7,1.04,0.02,1.04,0.01,1.01,0.06
284.12337773,42.0465304898,6585110,5620.0,4.25,-0.26,16.2484722,2105.052,4.63,0.034,4.67,1.07,0.02,1.09,0.01,1.0,0.06
284.12636369,42.056995612600005,6585117,5469.0,4.36,0.09,16.2656727,1993.24902,4.77,0.054,4.82,0.93,0.02,1.08,0.01,1.01,0.06
284.13283418599997,42.0989329265,6585125,5072.0,4.62,0.03,15.8278685,853.550293,6.17,-0.005,6.17,0.27,0.01,0.67,0.0,0.84,0.05
284.135548684,42.0033314696,6585137,5519.0,4.29,-0.63,16.8976154,2324.83691,5.07,0.034,5.1,0.72,0.01,0.93,0.01,0.88,0.06
284.13735380099996,42.0506505219,6585141,6053.0,4.19,-1.66,17.371080399999997,3337.58594,4.75,0.004,4.76,0.98,0.02,0.9,0.01,0.82,0.05
284.139598044,42.0951417715,6585147,5743.0,4.25,-0.52,16.114753699999998,1859.4942600000002,4.77,0.049,4.82,0.93,0.02,0.98,0.01,0.97,0.06
284.14246352,42.0550711629,6585149,6316.0,4.18,-0.44,15.6299076,2077.50146,4.04,0.069,4.11,1.78,0.04,1.12,0.02,1.17,0.07
284.142990908,42.0316540425,6585150,5297.0,4.52,0.15,15.600603099999999,1112.39868,5.37,0.024,5.39,0.55,0.01,0.88,0.01,0.94,0.06
284.146436085,42.059811502399995,6585159,5686.0,4.2,-0.39,16.026699100000002,2028.71558,4.49,0.049,4.54,1.2,0.02,1.13,0.01,1.01,0.06
284.149041695,42.0995817552,6585165,5658.0,4.13,-0.26,13.9237299,921.5277710000001,4.1,0.049,4.15,1.72,0.03,1.37,0.01,1.06,0.07
284.172828671,42.0292264641,6585213,5552.0,3.99,-0.62,17.032299,4157.22656,3.94,0.036,3.97,2.02,0.04,1.54,0.01,1.0,0.06
284.186004528,42.0464067438,6585236,5054.0,3.79,-0.36,15.580287900000002,2082.9834,3.99,-0.004,3.98,2.01,0.04,1.85,0.01,1.02,0.07
284.205543665,42.0237018363,6585263,5274.0,4.55,-0.39,14.9160519,648.459229,5.86,0.018,5.87,0.35,0.01,0.71,0.01,0.82,0.05
284.21282608,42.0364268771,6585276,5727.0,4.18,-0.01,14.707552,1259.70276,4.21,0.075,4.28,1.53,0.03,1.26,0.01,1.12,0.07
284.223652539,42.087335747,6585300,5727.0,4.12,-0.33,16.798164399999994,3628.77246,4.0,0.049,4.05,1.89,0.04,1.4,0.01,1.06,0.07
284.22591613099996,42.081733324,6585303,5634.0,4.06,-0.29,15.31318,1635.56641,4.24,0.049,4.29,1.51,0.03,1.29,0.01,1.07,0.07
284.227787954,42.0622868008,6585308,5560.0,3.93,-0.16,15.667316399999999,2631.43921,3.57,0.056,3.62,2.8,0.06,1.81,0.02,1.15,0.07
284.240158274,42.037882497199995,6585334,6180.0,4.13,-0.65,16.7115173,3607.75879,3.93,0.067,3.99,1.99,0.04,1.23,0.02,1.1,0.07
284.244098635,42.0371752342,6585348,5698.0,4.1,-0.73,16.8023415,4908.7807600000015,3.35,0.049,3.4,3.45,0.07,1.91,0.02,0.97,0.06
284.251052319,42.0966656081,6585364,4960.0,3.23,-0.15,13.5606508,1707.27625,2.4,0.009,2.41,8.56,0.17,3.97,0.02,1.46,0.09
284.260165271,42.0175652059,6585386,4867.0,2.97,-1.19,15.9117203,8113.020509999998,1.37,-0.077,1.29,24.01,0.49,6.91,0.04,1.35,0.09
284.27181274099996,42.030725822,6585413,5642.0,4.12,-0.71,16.9950085,4398.4423799999995,3.78,0.049,3.83,2.32,0.05,1.6,0.01,0.95,0.06
284.286675189,42.0421600548,6585439,5838.0,4.16,-0.99,17.3915806,4615.09619,4.07,0.024,4.09,1.81,0.04,1.32,0.01,0.92,0.06
284.290357257,42.023030606300004,6585448,5675.0,3.99,-0.48,16.7299042,4478.1567399999985,3.47,0.049,3.52,3.07,0.06,1.82,0.02,1.07,0.07
284.29074051099997,42.0051215207,6585449,5606.0,4.14,0.1,14.8995514,1328.91077,4.28,0.056,4.34,1.45,0.03,1.28,0.01,1.13,0.07
284.33131349900003,42.0065059011,6585530,6042.0,4.05,-1.11,17.228735,3767.35889,4.35,0.028,4.38,1.4,0.03,1.08,0.01,0.99,0.06
284.332962038,42.0219383036,6585532,5608.0,4.35,-0.33,15.6992521,1296.45093,5.14,0.034,5.17,0.67,0.01,0.87,0.01,0.95,0.06
284.39102014,42.016131030100006,6585674,4999.0,3.22,-0.54,15.9932919,7026.269040000001,1.76,0.001,1.76,15.54,0.31,5.27,0.03,1.37,0.09
284.44588815099996,42.004356509000004,6585868,5333.0,3.85,-0.49,16.0712128,2805.2226600000013,3.83,0.018,3.85,2.27,0.05,1.77,0.01,1.04,0.07
284.456196042,42.0672102992,6585895,4794.0,4.52,-0.64,14.599247,187.818161,8.23,-0.044,8.19,0.04,0.0,0.3,0.0,0.67,0.04
284.467177113,42.0756962969,6585930,5716.0,4.06,-0.09,15.077472699999998,1520.32361,4.17,0.075,4.24,1.58,0.03,1.29,0.01,1.15,0.07
284.50350881,42.080326093800004,6586039,5126.0,4.55,-0.23,16.0614223,1079.7396199999996,5.89,0.023,5.92,0.34,0.01,0.74,0.0,0.81,0.05
284.550781913,42.020425573800004,6586141,4811.0,3.38,-0.05,14.061505300000002,1679.1770000000001,2.94,-0.056,2.88,5.54,0.11,3.4,0.02,1.29,0.08
284.553204128,42.0114171815,6586143,5673.0,4.07,-0.27,15.6473904,2169.0336899999998,3.97,0.049,4.01,1.95,0.04,1.45,0.01,1.08,0.07
284.553285399,42.056401292800004,6586144,6587.0,4.14,-0.18,12.9789886,843.189453,3.35,0.109,3.46,3.26,0.07,1.39,0.02,1.34,0.09
284.555380305,42.0908871113,6586149,6532.0,4.16,-0.65,16.4369812,4598.43896,3.12,0.079,3.2,4.12,0.08,1.59,0.03,1.18,0.08
284.55607396700003,42.0662654656,6586150,5512.0,3.95,-0.7,16.947320899999998,2947.06201,4.6,0.036,4.64,1.1,0.02,1.15,0.01,0.99,0.06
284.56950203900004,42.0196219589,6586182,4964.0,3.16,-0.71,16.1761913,7251.626459999998,1.87,0.001,1.88,13.99,0.28,5.07,0.03,1.35,0.09
284.573660573,42.0798742266,6586195,5563.0,4.29,-0.2,15.80861,1677.48572,4.69,0.054,4.74,1.0,0.02,1.08,0.01,0.99,0.06
284.57374079,42.0957418268,6586197,6008.0,4.19,-0.49,15.063869500000001,1404.63208,4.33,0.054,4.38,1.39,0.03,1.09,0.01,1.07,0.07
284.579741455,42.0927301637,6586208,5227.0,4.57,0.15,14.126131099999998,486.131622,5.69,0.024,5.72,0.41,0.01,0.78,0.01,0.91,0.06
284.58838124700003,42.056568118600005,6586231,4614.0,4.64,-0.16,15.6391745,614.5476070000002,6.7,-0.121,6.58,0.18,0.0,0.67,0.0,0.69,0.04
284.59218735900004,42.0203528164,6586237,5036.0,3.67,-0.13,13.8717995,1057.86523,3.75,0.004,3.75,2.48,0.05,2.07,0.01,1.14,0.07
284.608006211,42.026710361999996,6586268,5669.0,4.08,-0.55,16.6928062,3600.2294899999997,3.91,0.049,3.96,2.05,0.04,1.49,0.01,1.01,0.06
284.60971206799996,42.0298082619,6586272,5523.0,4.34,-0.22,16.7929096,2261.96924,5.02,0.054,5.07,0.73,0.01,0.94,0.01,0.96,0.06
284.61002684,42.013353494899995,6586274,5363.0,4.5,-0.33,16.6167564,1375.33411,5.92,0.018,5.94,0.33,0.01,0.67,0.01,0.86,0.06
284.619450229,42.0673244807,6586290,5623.0,4.1,-0.6,16.7277489,2719.53345,4.56,0.036,4.59,1.15,0.02,1.13,0.01,0.98,0.06
284.62179496,42.0594343163,6586293,5665.0,4.32,-0.78,15.4293814,1039.8754900000001,5.34,0.024,5.37,0.56,0.01,0.78,0.01,0.88,0.06
284.622583202,42.0034467754,6586295,5756.0,4.15,-0.14,15.8792286,2101.88159,4.27,0.075,4.34,1.44,0.03,1.21,0.01,1.11,0.07
284.629830439,42.086050048699995,6586308,5593.0,4.35,-0.67,17.0426903,2161.05957,5.37,0.034,5.4,0.54,0.01,0.79,0.01,0.88,0.06
284.632761673,42.0327593058,6586318,5647.0,4.16,-0.63,17.1092663,3039.41162,4.7,0.049,4.74,1.0,0.02,1.05,0.01,0.95,0.06
284.643739508,42.0044063276,6586333,7265.0,4.12,-0.27,13.5605774,1556.38489,2.6,0.077,2.68,6.68,0.14,1.64,0.04,1.51,0.1
284.654513498,42.0275355748,6586358,6278.0,4.16,-0.2,13.199752800000002,792.275757,3.71,0.1,3.81,2.37,0.05,1.3,0.02,1.23,0.08
284.656851112,42.0102643643,6586362,5660.0,3.91,-0.32,14.6845131,1604.9578900000001,3.66,0.049,3.71,2.59,0.05,1.68,0.02,1.15,0.07
284.657729302,42.0711084606,6586366,5693.0,4.32,-0.78,16.7416744,1925.9265100000002,5.32,0.024,5.34,0.57,0.01,0.78,0.01,0.89,0.06
284.65911172299997,42.089406214899995,6586370,5456.0,4.45,-0.42,16.586761499999998,1675.90344,5.47,0.034,5.5,0.5,0.01,0.79,0.01,0.87,0.06
284.674490115,42.0062540609,6586402,5225.0,4.55,-0.17,15.695975299999999,897.640259,5.93,0.023,5.95,0.33,0.01,0.7,0.0,0.85,0.05
284.68397478099996,42.0753907016,6586422,5715.0,4.22,-0.47,15.4476337,1419.0562699999994,4.69,0.049,4.74,1.0,0.02,1.02,0.01,0.99,0.06
284.685874792,42.080505533200004,6586427,5621.0,4.12,-0.48,16.5856647,3305.95972,3.99,0.036,4.03,1.93,0.04,1.47,0.01,1.0,0.06
284.685958157,42.0172841689,6586428,5183.0,3.71,-0.38,13.8675003,1195.2793,3.48,0.024,3.5,3.12,0.06,2.2,0.01,1.1,0.07
284.691748554,42.0518550873,6586441,6000.0,4.14,-0.71,16.637928,3387.2387700000004,3.99,0.054,4.04,1.9,0.04,1.28,0.02,1.03,0.07
284.692255925,42.059145533,6586442,4819.0,2.54,-0.48,14.316103,4906.01758,0.86,-0.067,0.8,37.83,0.77,8.85,0.04,2.19,0.14
284.693264085,42.047879532399996,6586447,4817.0,2.81,-0.57,15.318491,7620.3969700000025,0.91,-0.067,0.84,36.25,0.73,8.67,0.04,1.73,0.11
284.69452289099996,42.0821530388,6586451,5490.0,4.37,-0.03,15.2642488,965.453003,5.34,0.054,5.39,0.55,0.01,0.82,0.01,0.98,0.06
284.700289242,42.0492816895,6586464,5208.0,4.52,-0.32,16.3708363,1300.0144,5.8,0.017,5.82,0.37,0.01,0.75,0.01,0.82,0.05
284.701778391,42.0920336596,6586466,5699.0,3.9,-0.23,15.2090464,2540.09204,3.18,0.075,3.26,3.91,0.08,2.03,0.02,1.19,0.08
284.70323252,42.0471765652,6586470,5366.0,4.28,-0.14,16.6866055,2547.0783699999997,4.66,0.024,4.68,1.06,0.02,1.19,0.01,0.95,0.06
284.707524794,42.0704202828,6586477,5520.0,4.19,0.01,14.868568400000001,1183.81042,4.5,0.056,4.56,1.18,0.02,1.19,0.01,1.06,0.07
284.712036247,42.0782133206,6586487,5593.0,4.24,-0.42,15.529578200000001,1388.08496,4.82,0.036,4.85,0.9,0.02,1.01,0.01,0.96,0.06
284.714421378,42.0078426054,6586490,5528.0,4.39,-0.25,15.844471900000002,1329.08435,5.23,0.034,5.26,0.62,0.01,0.86,0.01,0.94,0.06
284.717430979,42.0848785754,6586498,5704.0,4.16,-0.26,15.9849234,2128.00586,4.35,0.049,4.39,1.38,0.03,1.2,0.01,1.06,0.07
284.721508496,42.0362748353,6586509,5447.0,4.48,-0.07,16.435142499999998,1692.0986300000006,5.29,0.054,5.35,0.57,0.01,0.85,0.01,0.94,0.06
284.7259081,42.0982723865,6586516,5786.0,4.0,-0.53,15.313923800000001,2493.23511,3.33,0.052,3.38,3.49,0.07,1.86,0.02,1.08,0.07
284.72847427799996,42.0703114095,6586518,5427.0,4.11,0.07,15.9215851,2506.36963,3.93,0.056,3.98,2.01,0.04,1.61,0.01,1.08,0.07
284.735700097,42.0986289748,6586533,5874.0,4.14,-1.12,17.2654018,4000.7468299999996,4.25,0.024,4.28,1.53,0.03,1.2,0.01,0.91,0.06
284.737523701,42.0576279915,6586541,5464.0,4.39,-0.01,16.5900917,2039.5284399999998,5.04,0.054,5.1,0.72,0.01,0.95,0.01,0.98,0.06
284.738680879,42.0420472698,6586544,5170.0,4.58,0.03,15.4043837,803.832275,5.88,0.024,5.9,0.34,0.01,0.73,0.0,0.87,0.06
284.740137269,42.0073043359,6586547,5305.0,4.51,-0.46,16.427253699999998,1362.0421099999999,5.76,0.018,5.77,0.39,0.01,0.74,0.01,0.82,0.05
284.748619912,42.077156955300005,6586564,5593.0,4.08,0.02,14.986240400000002,1594.19324,3.97,0.056,4.03,1.92,0.04,1.48,0.01,1.13,0.07
284.75325217799997,42.0558426708,6586575,5449.0,4.19,-0.28,16.148811300000002,2599.2065399999997,4.07,0.036,4.11,1.79,0.04,1.5,0.01,0.97,0.06
284.754951408,42.0939823391,6586578,5447.0,4.28,-0.37,16.643528,2608.40137,4.56,0.034,4.6,1.14,0.02,1.2,0.01,0.92,0.06
284.761457873,42.0288537228,6586591,5619.0,4.18,-0.4,17.030799899999998,4591.24463,3.72,0.036,3.76,2.47,0.05,1.66,0.02,0.99,0.06
284.766445503,42.0171344154,6586602,5195.0,4.52,-0.56,16.4218102,1283.35291,5.88,0.016,5.9,0.34,0.01,0.73,0.0,0.77,0.05
284.770034155,42.0945430839,6586609,5761.0,4.18,-0.5,17.2606678,3314.59912,4.66,0.051,4.71,1.03,0.02,1.02,0.01,1.01,0.06
284.793045846,42.0532896206,6586651,5184.0,4.36,-0.33,15.3857775,1235.94226,4.93,0.017,4.94,0.83,0.02,1.13,0.01,0.84,0.05
284.812096818,42.018715128800004,6586692,5863.0,4.22,-0.55,17.0746784,2461.0127,5.12,0.051,5.17,0.67,0.01,0.8,0.01,1.01,0.06
284.847368999,42.0182929838,6586769,5218.0,3.74,-0.07,15.9332581,2960.64136,3.58,0.027,3.6,2.85,0.06,2.07,0.01,1.18,0.08
284.87760650900003,42.096628471100004,6586832,4975.0,3.38,-0.24,16.3255634,5931.05176,2.46,0.005,2.47,8.13,0.16,3.85,0.02,1.3,0.08
284.886135363,42.0283128114,6586853,7031.0,4.16,-0.81,16.7612019,4106.9043,3.69,0.068,3.76,2.46,0.05,1.06,0.02,1.25,0.08
284.89653749,42.0865537346,6586868,6318.0,4.12,-0.38,15.2618093,2759.50879,3.06,0.069,3.13,4.42,0.09,1.76,0.03,1.21,0.08
284.898593344,42.080425942800005,6586872,4949.0,4.56,0.15,14.9097576,647.036621,5.86,-0.005,5.85,0.36,0.01,0.82,0.0,0.84,0.05
284.916663742,42.080822406799996,6586904,5918.0,4.1,-0.67,15.9787598,2810.97534,3.73,0.054,3.79,2.4,0.05,1.48,0.02,1.04,0.07
284.920956108,42.055006927600004,6586910,5804.0,4.12,-0.34,16.4833298,2794.60938,4.25,0.051,4.3,1.5,0.03,1.21,0.01,1.08,0.07
284.933915505,42.0797316512,6586937,5106.0,3.36,-0.48,15.532202700000001,3622.34277,2.74,0.003,2.74,6.31,0.13,3.22,0.02,1.3,0.08
284.94234956599996,42.0100700331,6586949,5441.0,4.38,-0.26,16.394193599999998,1653.46021,5.3,0.034,5.34,0.58,0.01,0.86,0.01,0.92,0.06
284.946115303,42.0733980212,6586955,4933.0,4.67,-0.05,14.369436300000002,436.074158,6.17,-0.005,6.17,0.27,0.01,0.71,0.0,0.78,0.05
284.956674956,42.0717963302,6586975,6254.0,4.12,-0.48,14.486493099999999,1627.3940400000001,3.43,0.069,3.5,3.14,0.06,1.51,0.02,1.17,0.07
284.968846216,42.0647780754,6587003,5722.0,4.26,-0.38,16.3677731,2215.84448,4.64,0.046,4.69,1.05,0.02,1.05,0.01,1.0,0.06
